,State,Vaccinations
0,Alabama,911800
1,Alaska,201700
2,Arizona,1292600
3,Arkansas,553100
4,California,7273200
5,Colorado,1034100
6,Connecticut,684900
7,Delaware,181500
8,Florida,3978600
9,Georgia,1885700
10,Hawaii,271000
11,Idaho,302800
12,Illinois,2394600
13,Indiana,1225600
14,Iowa,581800
15,Kansas,531300
16,Kentucky,829900
17,Louisiana,860500
18,Maine,261900
19,Maryland,1128000
20,Massachusetts,1319200
21,Michigan,1877800
22,Minnesota,1028400
23,Mississippi,549500
24,Missouri,1138400
25,Montana,198700
26,Nebraska,351400
27,Nevada,544900
28,New Hampshire,262300
29,New Jersey,1671500
30,New Mexico,391900
31,New York,3744200
32,North Carolina,1902400
33,North Dakota,143500
34,Ohio,2182500
35,Oklahoma,716900
36,Oregon,780700
37,Pennsylvania,2149900
38,Philadelphia,298300
39,Rhode Island,206200
40,South Carolina,933900
41,South Dakota,158600
42,Tennessee,1246400
43,Texas,4980400
44,Utah,518100
45,Vermont,124000
46,Virginia,1583400
47,Washington,1385300
48,West Virginia,353400
49,Wisconsin,1092400
50,Wyoming,108900
